#species_taxid	min_ungapped_length	max_ungapped_length	expected_ungapped_length	number_of_genomes
59310	1730000	2597000	2163740	7
59479	997482000	2992448000	1994965235	4
59509	120000	181000	150545	16
59586	34090000	51137000	42613724	41
59729	732793000	1378529000	1055661049	7
59737	2704000	4057000	3380281	5
59813	4538000	6809000	5673594	4
59814	3895000	5844000	4869344	18
59816	4568	6853	5711	1
59843	4772000	8296000	6533851	6
59893	4835000	7254000	6044698	8
60137	2099000	4613000	3355671	8
60520	1661000	4986000	3323419	12
60549	6870000	10306000	8588263	6
60550	6370000	9557000	7963447	7
60552	5458000	8188000	6823232	47
60890	3632000	5450000	4541013	10
61015	2209000	3315000	2761755	20
61235	32206000	48310000	40257718	4
61435	1034000	1744000	1388914	41
61476	453938000	1361816000	907876966	4
61645	3630000	6052000	4841061	85
61646	3576000	5365000	4470525	8
61647	4404000	6608000	5506011	20
61648	2857000	7020000	4938529	6
61652	3996000	5995000	4995355	7
62079	2770	8311	5541	4
62322	3658000	6842000	5250121	14
63363	1272000	1908000	1590791	1
63577	29005000	43509000	36257228	4
64104	4530000	6797000	5663609	111
64320	8645	13000	10807	5
64363	15142000	45428000	30284678	19
64495	31447000	54237000	42841631	8
64988	2903000	4356000	3629371	5
65058	2001000	3003000	2501730	30
65357	26392000	39589000	32990475	7
65489	234048000	351073000	292560727	4
65959	2435000	3653000	3044158	8
66219	3584000	5839000	4711470	5
66269	3822000	5735000	4778447	12
66851	1682000	2525000	2103692	4
66948	8423000	12635000	10529110	6
67304	7635000	11453000	9544071	5
67351	6228000	9343000	7785545	7
67581	6526000	9791000	8158415	4
67780	2964000	4448000	3706145	9
67824	3888000	6853000	5370841	4
67827	4049000	6075000	5062051	11
68170	8359000	12540000	10449723	4
68570	6676000	12032000	9354309	6
68886	4629000	13890000	9259684	4
68892	1448000	2291000	1869505	11
68895	6787000	10181000	8483849	4
69181	203183000	609550000	406366504	4
69218	3905000	5859000	4882032	16
69220	3790000	5686000	4738161	4
69293	333994000	500993000	417493368	5
69395	2716000	8151000	5433566	5
69781	24302000	36455000	30378446	6
69966	1756000	2635000	2195272	45
69974	3569000	10709000	7138901	5
70255	2144000	3217000	2680281	8
70611	2441000	3663000	3052492	16
70775	4671000	7007000	5838914	16
70799	4281000	6422000	5351435	4
70863	4105000	6157000	5131424	2
71237	2061000	3093000	2577283	9
71433	3491000	10476000	6983417	4
71451	3688000	5533000	4610222	5
71452	3367000	5051000	4208854	6
71657	3078000	4618000	3848106	6
71999	2023000	3665000	2843936	6
72000	2133000	3316000	2724693	16
72026	1418000	2129000	1773544	4
72149	6299	11000	8235	6
72361	3143000	4716000	3929787	5
72520	20155000	37306000	28730507	4
72557	5158000	7738000	6448288	7
74426	1284000	3177000	2230232	46
74722	29196000	43795000	36495090	4
74829	3489000	5235000	4361731	4
75105	7364000	11047000	9205673	5
75588	4990000	7487000	6238666	4
75612	5508000	8264000	6885924	10
75658	1273000	1910000	1591266	30
75736	7611000	11418000	9514252	4
75985	2108000	3163000	2635019	189
76594	3690000	5537000	4613605	5
76758	4777000	7167000	5972457	9
76759	3038000	8500000	5769008	24
76760	4803000	7206000	6004508	6
76761	5484000	8775000	7129310	13
76773	7150000	10726000	8938243	4
76775	3629000	10889000	7259217	5
76777	6183000	9275000	7729037	9
76832	3232000	4850000	4041097	11
76860	1530000	2297000	1913551	18
76936	1451000	2178000	1814581	5
77022	3030000	4707000	3868653	20
77095	1681000	4912000	3296120	9
77298	5250000	7876000	6562829	6
77608	3588000	5383000	4485707	4
77856	1596	2394	1995	419
78258	1512000	2270000	1891123	5
78327	4597000	6896000	5746626	8
78331	3535000	5304000	4419397	9
78342	1603000	2406000	2004594	4
78344	1072000	3218000	2144701	4
78345	1628000	2925000	2276555	4
78398	4047000	6072000	5059674	14
78544	5207000	7811000	6509153	4
79327	346497000	1039494000	692995953	4
79329	3366000	10099000	6732602	6
79588	17208000	44450000	30829093	4
79880	3488000	5233000	4360437	21
79883	3436000	5156000	4295882	5
80600	28031000	42048000	35039901	7
80842	4506000	6760000	5633154	7
80852	3708000	5563000	4635126	7
80854	4090000	6137000	5113655	13
80866	3274000	9825000	6549354	17
80867	2329000	6988000	4658021	9
80869	4207000	6492000	5349686	12
81462	1478000	2218000	1848474	1
81858	4244000	6367000	5305458	6
81970	90556000	271669000	181112425	4
82135	1160000	1741000	1450717	6
82367	2763000	5896000	4329413	8
82374	1457000	4004000	2730353	4
82380	3114000	4673000	3893707	8
82508	19553000	29331000	24442394	4
82541	4320000	6838000	5578743	5
82633	5069000	8584000	6826799	5
82676	6292	9439	7866	4
82981	3382000	5074000	4227602	4
82983	4009000	6015000	5011796	5
82985	3230000	4847000	4038704	5
82995	4084000	6128000	5106124	5
82996	4337000	6506000	5421652	18
83262	4546000	6820000	5682787	17
83526	1572000	3937000	2754222	13
83552	2403000	3605000	3004123	4
83554	942000	1415000	1178420	65
83555	578000	1737000	1157980	48
83558	982000	1475000	1228576	13
83559	873000	1311000	1092041	33
83560	858000	1288000	1072952	28
83655	2421000	6752000	4586714	99
83656	6415000	9624000	8019548	5
83683	1280000	1922000	1601193	7
83771	2039000	3595000	2817044	4
84023	3481000	5223000	4352205	5
84024	2874000	4313000	3593577	4
84032	3672000	5509000	4590738	4
84096	4038000	6058000	5048240	4
84112	2120000	4848000	3484218	42
84135	1437000	2156000	1796606	5
84531	4475000	6817000	5646243	4
84595	3795000	8566000	6180512	5
85404	1763000	2646000	2204450	5
85698	4903000	8123000	6513005	71
85701	1421000	3404000	2412395	4
85708	1413	2120	1767	2423
85831	2532000	7599000	5065678	9
85982	30254000	48605000	39429864	4
85991	884000	1327000	1105384	12
86102	2108000	3251000	2679427	14
86185	3955000	5933000	4943754	22
86265	5270000	7906000	6587919	6
86664	2985000	4827000	3906163	7
86840	4780000	7172000	5975918	6
87541	1319000	1980000	1649651	4
87883	5144000	7717000	6430238	204
88431	1562000	4687000	3124252	25
88456	35397000	53097000	44247389	37
89059	1786000	2842000	2313671	4
89153	3054000	4582000	3817918	4
89462	2141742000	3212614000	2677178324	5
90239	1653000	2480000	2066626	4
90245	1958000	3042000	2499738	11
90270	4246000	6370000	5307920	13
91915	2602000	3904000	3252600	4
91943	24310000	72932000	48620809	13
92644	8814000	13223000	11018516	4
92647	7038000	10559000	8798461	6
92942	7210000	10816000	9012724	14
92945	2621000	3932000	3276390	5
93064	3864000	5797000	4830159	76
93218	4487000	6732000	5609637	21
93220	4311000	6468000	5389547	10
93222	4765000	7148000	5956418	5
93930	759000	2278000	1518182	4
94132	3462000	6832000	5147124	5
94625	2733000	6696000	4714489	18
94626	3648000	6580000	5114363	4
95149	712000	2137000	1424421	4
95342	5956	8934	7445	10
95485	6548000	10463000	8505441	5
95486	6332000	9592000	7962093	298
96344	4819000	10447000	7632792	4
96345	1376000	4082000	2729332	120
97478	1284000	2875000	2079103	13
100053	3249000	4875000	4061826	6
100755	2263	3394	2829	15
100884	3042000	4565000	3803585	7
101571	6021000	9033000	7527412	307
101932	4157000	12472000	8314386	23
102148	1409000	2588000	1998704	4
102684	1540000	2311000	1925087	5
103232	8542000	12814000	10677810	4
103621	2078000	3119000	2598372	5
103816	3834000	7061000	5447203	10
103817	896000	2690000	1793165	5
103855	3917000	5876000	4896361	20
104087	5037000	8012000	6524485	13
104099	2408000	3613000	3010195	4
104101	2688000	4034000	3361018	4
104102	3006000	4510000	3758162	10
104268	2681000	4022000	3351329	4
104336	2874000	4313000	3593462	4
104628	1309000	1965000	1637016	18
105219	3886000	5830000	4858077	9
105612	1338000	2009000	1673442	4
105841	2703000	4056000	3379250	4
106370	4210000	6316000	5262682	4
106590	3936000	10898000	7416678	11
106592	4686000	9849000	7267502	11
106648	3716000	5576000	4646177	25
106649	3876000	5816000	4845871	8
106654	2394000	5424000	3908878	147
106966	5912	8869	7391	11
108015	6446000	9670000	8058006	8
108098	28000	43000	35232	250
108980	2449000	4501000	3474999	63
108981	2076000	4413000	3244374	10
109328	2284000	3427000	2855727	4
109615	2654000	6653000	4653276	10
109790	1225000	2091000	1657536	39
109975	4793000	11265000	8028605	6
110321	5382000	8075000	6728715	59
111105	1884000	2828000	2356049	12
111504	1440000	2161000	1800483	5
112090	26747000	80243000	53495060	12
112904	2444000	3667000	3055159	5
113107	1494000	2431000	1962410	7
113366	153000	231000	191718	5
113540	590591000	885888000	738239437	6
114155	30761000	46143000	38452111	4
114186	131000	198000	164376	8
114524	4136000	12411000	8273758	19
114742	21561000	64684000	43122136	12
114977	4177000	6266000	5221451	4
115357	302206000	681436000	491820628	4
117187	33816000	50725000	42270168	4
118140	5611	8416	7014	11
118562	5004000	8000000	6501886	5
119219	5557000	8337000	6947252	10
119858	3760000	5641000	4700172	8
119927	27779000	41670000	34724477	7
119981	2405000	3608000	3006414	4
120168	2192	3289	2741	6
120213	2941000	4756000	3848592	7
120576	2664000	3998000	3331029	5
120577	2622000	3934000	3278034	9
121428	2228000	6214000	4221110	5
